parameter,mean,median,sd,lower,upper,truth,bias,rmse,coverage,width,regime,replicate,start
p_E,0.595710516789266,0.5920640276438516,0.04841723487375919,0.4995131408088103,0.700951929131619,0.6,-0.004289483210733969,0.004289483210733969,TRUE,0.20143878832280865,High,2,medium
p_I,0.8290310651842822,0.8273386906836295,0.03719532794680697,0.7588793622502299,0.9034624506104131,0.85,-0.02096893481571782,0.02096893481571782,TRUE,0.1445830883601832,High,2,medium
s,0.8987607881181774,0.8995077231690884,0.009469171218820573,0.8804557710925855,0.912491622477097,0.9,-0.0012392118818226328,0.0012392118818226328,TRUE,0.03203585138451148,High,2,medium
tau_EE,0.07461597260350117,0.07211958712520093,0.012724235628765417,0.05280814725864322,0.10682495799029483,0.03,0.04461597260350117,0.04461597260350117,FALSE,0.05401681073165161,High,2,medium
tau_EI,0.07476526934599728,0.07269130827635278,0.013033692999530581,0.0527052037812061,0.1014750633986616,0.03,0.04476526934599728,0.04476526934599728,FALSE,0.048769859617455495,High,2,medium
tau_ER,0.07335495210427877,0.07220875676885007,0.012571334086858321,0.05268589089752545,0.10149214995524801,0.03,0.04335495210427877,0.04335495210427877,FALSE,0.04880625905772256,High,2,medium
tau_II,0.07672461038670318,0.07585873142513998,0.013985898735610987,0.05246224908966225,0.10674454311209731,0.07,0.006724610386703175,0.006724610386703175,TRUE,0.05428229402243506,High,2,medium
tau_IR,0.07647955560939446,0.07478558758176952,0.013160645525296158,0.05211940847637549,0.10334259611473018,0.03,0.04647955560939446,0.04647955560939446,FALSE,0.05122318763835469,High,2,medium
tau_RR,0.07325974847493769,0.07269268925044675,0.012471712233241762,0.047669213103633715,0.09755228557549374,0.03,0.04325974847493769,0.04325974847493769,FALSE,0.049883072471860024,High,2,medium
tau_SE,0.07516914209557261,0.07398328953470656,0.012903859291099395,0.05017992443091496,0.1000868821136149,0.03,0.045169142095572615,0.045169142095572615,FALSE,0.04990695768269994,High,2,medium
tau_SI,0.07537261511921906,0.0742496290416122,0.012473125963420904,0.05344882731135908,0.1013188634791153,0.06,0.015372615119219057,0.015372615119219057,TRUE,0.047870036167756216,High,2,medium
tau_SR,0.07545840184271818,0.0755056891739174,0.014387595037645034,0.04835029842137853,0.10427530113388944,0.03,0.04545840184271818,0.04545840184271818,FALSE,0.05592500271251091,High,2,medium
tau_SS,0.07665812009095262,0.07493905735387346,0.014283957136978173,0.05103265195539408,0.10947405045207079,0.03,0.04665812009095262,0.04665812009095262,FALSE,0.058441398496676705,High,2,medium
xi,0.06069195214040888,0.057798683266007414,0.01776329650139592,0.03488414006220087,0.10822442053689482,0.05,0.010691952140408877,0.010691952140408877,TRUE,0.07334028047469396,High,2,medium
beta,0.29707576321125323,0.29133365226304186,0.06470568114377281,0.18324348524261003,0.44266647412349835,0.3,-0.002924236788746759,0.002924236788746759,TRUE,0.25942298888088833,High,2,high
c,0.9499266770368603,0.9505337020600955,0.0061858387737028005,0.9364709314202178,0.9609556076468776,0.95,-7.332296313966591e-5,7.332296313966591e-5,TRUE,0.02448467622665984,High,2,high
eta_EE,0.07617079092797162,0.0751617262246431,0.013282155321524597,0.052064506786045496,0.10126192570050233,0.08,-0.0038292090720283833,0.0038292090720283833,TRUE,0.04919741891445683,High,2,high
eta_EI,0.07732879397385847,0.07844973282871952,0.01225473623833479,0.05244676939900393,0.10178733709087578,0.08,-0.002671206026141529,0.002671206026141529,TRUE,0.04934056769187185,High,2,high
eta_ER,0.07439484231958704,0.07392589313752904,0.012579004779626427,0.054187888186999086,0.10168271392633721,0.08,-0.005605157680412962,0.005605157680412962,TRUE,0.04749482573933812,High,2,high
eta_II,0.075595019352019,0.07520446260659464,0.013392969310856722,0.05127147747100514,0.10599724349430684,0.04,0.035595019352018996,0.035595019352018996,FALSE,0.054725766023301696,High,2,high
